"";"weights";"n_sim";"mu";"N";"lift";"sd";"power_ttest";"power_mwtest"
"190";"7525";1000;1;50;9,00000000000001;10;0,056;0,051
"191";"9010";1000;1;50;9,00000000000001;10;0,054;0,046
"192";"9901";1000;1;50;9,00000000000001;10;0,055;0
"193";"5050";1000;1;50;10;10;0,041;0,037
"194";"7525";1000;1;50;10;10;0,044;0,056
"195";"9010";1000;1;50;10;10;0,072;0,041
"196";"9901";1000;1;50;10;10;0,045;0
"197";"5050";1000;1;50;20;10;0,052;0,053
"198";"7525";1000;1;50;20;10;0,06;0,052
"199";"9010";1000;1;50;20;10;0,065;0,053
"200";"9901";1000;1;50;20;10;0,05;0
"201";"5050";1000;1;50;50;10;0,058;0,043
"202";"7525";1000;1;50;50;10;0,06;0,054
"203";"9010";1000;1;50;50;10;0,067;0,049
"204";"9901";1000;1;50;50;10;0,061;0,001
"205";"5050";1000;1;50;100;10;0,062;0,061
"206";"7525";1000;1;50;100;10;0,056;0,052
"207";"9010";1000;1;50;100;10;0,061;0,058
"208";"9901";1000;1;50;100;10;0,114;0
"209";"5050";1000;2;50;1;1;0,051;0,049
"210";"7525";1000;2;50;1;1;0,049;0,041
"211";"9010";1000;2;50;1;1;0,053;0,038
"212";"9901";1000;2;50;1;1;0,057;0,048
"213";"5050";1000;2;50;2;1;0,054;0,05
"214";"7525";1000;2;50;2;1;0,063;0,043
"215";"9010";1000;2;50;2;1;0,074;0,038
"216";"9901";1000;2;50;2;1;0,05;0,062
"217";"5050";1000;2;50;3;1;0,047;0,062
"218";"7525";1000;2;50;3;1;0,051;0,048
"219";"9010";1000;2;50;3;1;0,063;0,044
"220";"9901";1000;2;50;3;1;0,053;0,053
"221";"5050";1000;2;50;4;1;0,058;0,056
"222";"7525";1000;2;50;4;1;0,064;0,045
"223";"9010";1000;2;50;4;1;0,063;0,051
"224";"9901";1000;2;50;4;1;0,048;0,059
"225";"5050";1000;2;50;5;1;0,066;0,085
"226";"7525";1000;2;50;5;1;0,065;0,052
"227";"9010";1000;2;50;5;1;0,066;0,051
"228";"9901";1000;2;50;5;1;0,065;0,054
"229";"5050";1000;2;50;6,00000000000001;1;0,072;0,051
"230";"7525";1000;2;50;6,00000000000001;1;0,067;0,056
"231";"9010";1000;2;50;6,00000000000001;1;0,06;0,047
"232";"9901";1000;2;50;6,00000000000001;1;0,056;0,053
"233";"5050";1000;2;50;7,00000000000001;1;0,07;0,071
"234";"7525";1000;2;50;7,00000000000001;1;0,069;0,065
"235";"9010";1000;2;50;7,00000000000001;1;0,07;0,053
"236";"9901";1000;2;50;7,00000000000001;1;0,077;0,055
"237";"5050";1000;2;50;8,00000000000001;1;0,081;0,075
"238";"7525";1000;2;50;8,00000000000001;1;0,063;0,076
"239";"9010";1000;2;50;8,00000000000001;1;0,061;0,067
"240";"9901";1000;2;50;8,00000000000001;1;0,071;0,055
"241";"5050";1000;2;50;9,00000000000001;1;0,08;0,095
"242";"7525";1000;2;50;9,00000000000001;1;0,079;0,08
"243";"9010";1000;2;50;9,00000000000001;1;0,071;0,066
"244";"9901";1000;2;50;9,00000000000001;1;0,083;0,053
"245";"5050";1000;2;50;10;1;0,115;0,1
"246";"7525";1000;2;50;10;1;0,088;0,077
"247";"9010";1000;2;50;10;1;0,08;0,074
"248";"9901";1000;2;50;10;1;0,066;0,058
